id,search_section_id,concert_id,section_title,concert_title,sorted_index,created_at,updated_at
1,1,25,9월의 인기 콘서트,뮤즈 내한공연 (MUSE LIVE IN KOREA),1,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
2,1,16,9월의 인기 콘서트,"타일러, 더 크리에이터 내한공연 [고양]",2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
3,1,10,9월의 인기 콘서트,Gen Hoshino presents MAD HOPE Asia Tour in SEOUL,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
4,1,12,9월의 인기 콘서트,크리스토퍼 내한공연 CHRISTOPHER LIVE [서울],4,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
5,1,22,9월의 인기 콘서트,SEKAI NO OWARI ASIA TOUR: Phoenix in Seoul,5,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
6,2,40,9월의 최신 콘서트,트래비스 스캇 첫 단독 내한공연 [고양],1,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
7,2,37,9월의 최신 콘서트,오아시스 내한공연 [고양],2,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
8,2,32,9월의 최신 콘서트,녹황색사회 아시아 투어,3,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
9,2,33,9월의 최신 콘서트,Novelbright LIVE TOUR [서울],4,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
10,2,34,9월의 최신 콘서트,yama Asia Tour: 호시탐탐 [서울],5,2025-09-08 14:00:21.534,2025-09-08 14:00:21.534
